1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
983.556957;957.437988;781.19574;783.780202;806.008204;835.779157;862.47676;802.070679;844.712334;819.936939;821.056029;938.840344;1059.253894;1126.59262;1114.513871;1088.939697;1128.366953;1024.87177;934.584485;845.036526;816.995867;724.281913;655.875839;423.736698;298.465375;421.246255;383.003717;349.380092;320.820409;293.052541;272.955119;255.558437;395.328592;393.824434;384.617678;404.812373;420.820495;522.024637;474.180044;532.414953;529.984146;550.993084;582.423584;594.549092;586.360419;554.004007;554.936105;548.755053;542.744027;583.812569;554.134659;426.866698
1390.780908;1407.033508;1424.550506;1443.417768;1462.992087;1485.142262;1508.873172;1532.076213;1564.976698;1595.722478;1617.668464;1681.608315;1703.419366;1696.17695;1651.513886;1659.723032;1733.233145;1703.348626;1666.109012;1819.379278;1631.562866;1172.194795;1087.401841;1192.443988;1294.082555;1470.786596;1582.053551;1416.854818;1552.231639;1765.387673;1903.585218;2080.025442;2195.313539;2339.574004;2493.075625;2656.869758;2841.0933;3038.70721;3293.610648;3428.652852;3576.670954;3683.828119;3746.966097;3791.299405;3862.471406;3950.390255;4083.35428;4241.124655;4415.181523;4512.262019;4365.847635;4783.885801
2526.724146;2235.180046;2670.189304;2720.255028;2754.369659;2808.990815;2842.584277;2995.118182;3206.560239;3344.975802;3268.440861;3260.029921;3356.159371;3420.742745;3492.1809;3500.414774;3399.281794;3274.799765;3154.201189;3207.452905;3153.473783;3042.213935;3025.837584;2896.66653;2810.72492;2862.106011;2927.375537;2910.237354;3012.803488;3066.03571;3138.227982;3188.204156;3321.635605;3512.896768;3612.750635;3774.068805;3783.310508;3848.775753;3874.365554;3866.293249;3931.717507;3969.657699;4025.638871;4057.762198;4129.419894;4197.417286;4246.239444;4218.079607;4188.217692;4153.000785;3873.506255;3939.358332
45108.82646;43969.3334;44407.81123;44803.34057;44390.83628;41988.18888;40926.32655;39837.38921;38403.79221;36655.2885;35919.4282;34537.33249;33508.34294;32554.63254;31761.68969;31291.31075;31036.92364;31362.54925;31620.04969;31872.21505;31885.70538;31597.45307;30861.67104;29576.27094;29347.94633;29250.9834;29458.56102;31864.0147;32627.76801;33722.57969;33887.5766;35708.16541;35735.58834;37235.30876;38680.9047;39291.26359;40977.93647;42707.38964;41453.72378;40426.54593;40920.80658;41469.42872;39159.1546;37582.54526;38387.1267;38869.87078;39870.56439;39305.75547;39304.28209;39397.86607;34380.60664;36601.26549
4419.417168;4572.834905;4446.867987;4651.049162;4637.142927;4261.076784;3909.386238;3812.07657;3489.403741;3381.677566;3343.601728;3084.862195;2976.014645;2990.844024;3057.892136;3052.893245;3039.517785;3142.360611;3207.639046;3113.317615;2997.507634;2928.190216;2669.095348;1965.812114;1929.432382;2147.041914;2357.998612;2446.553707;2478.699615;2452.357858;2446.59615;2441.866393;2704.935203;2692.324588;2884.28896;3201.814334;3448.63318;3791.236373;4062.601489;3948.90203;3988.989891;3975.222587;4155.621867;4201.595898;4244.905748;4130.93008;3881.790426;3742.620859;3568.182352;3424.92279;3127.897947;3066.784041
6482.425174;6274.519739;6957.825641;7211.219882;7163.09328;7369.21789;7444.336587;7433.194668;7967.2784;8707.762472;9115.233007;9438.588086;9313.137453;9298.178554;9581.270689;10475.09224;11382.13269;12137.13882;13513.21445;14115.21825;17078.16216;13487.70141;16831.86495;17617.84074;18550.42288;17657.54246;17619.37621;18984.76601;20370.87427;20519.17547;20206.55071;20115.7178;19010.36427;19854.05135;22169.59629;24675.54977;29101.42792;32620.63848;31680.2921;25374.15409;23786.72077;24372.09666;22750.3916;22233.93881;22582.84387;22756.28077;21767.7269;20052.95183;21527.51724;22423.59231;15518.37963;17321.51309
4391.880673;4701.880289;5055.186231;5504.719636;5713.792394;5415.772988;4934.245886;5283.26816;5451.671573;6012.807366;6388.178833;6684.705068;6694.998968;7133.755314;7671.081655;8305.33431;9051.034206;9894.261337;10705.60561;11329.15106;11727.10929;11924.73887;11871.65842;12275.39592;12853.28379;12054.6163;12592.99959;13017.21157;13378.71536;13639.99594;13573.81567;12940.24282;13149.53175;13770.18712;14339.09899;15295.60484;17035.34596;18363.40343;18228.64913;15804.44514;14367.9515;13918.59653;14232.96959;14015.87932;14427.40691;14861.88271;15570.90406;15962.72887;16957.63268;17599.96872;14448.59636;15288.43788
10337.90635;10558.20263;10607.05179;10824.84461;11217.61582;10967.58922;10793.38196;11300.43337;10762.24568;11334.55849;11318.45152;10537.45736;10045.05541;10296.38733;10342.67027;9478.683386;10003.47135;10103.02467;9757.472147;8939.43699;8692.251696;9468.787552;10300.59055;10796.93079;11274.17239;10810.02314;11264.57926;12033.19893;12352.60244;11797.70929;11572.72964;10941.57694;9645.442362;10389.99759;11213.73173;12080.8332;12918.63677;13941.30326;14363.69483;13377.2027;14582.66609;15301.6063;14988.73349;15191.41541;14659.00736;14908.6213;14461.01526;14738.19639;14236.43347;13848.08884;12396.57567;13652.26133
;;;;;;;;;;;;;;;;;;;;1616.110053;1403.264054;827.160922;779.851691;841.758598;913.557208;974.462239;1015.281553;1100.186401;1148.231574;1230.320393;1363.123624;1582.469569;1816.911099;2019.120496;2313.043948;2636.279244;3020.798152;3253.383505;2811.050138;2890.875062;3043.209335;3277.550108;3399.53019;3537.311384;3666.141825;3688.793191;3985.880037;4215.960398;4563.317953;4259.283401;4529.790501
4577.820741;5018.497963;5470.975409;5916.931465;6383.399505;6884.759712;7451.81269;8093.095685;8789.595586;9546.993361;10371.01546;11250.88439;12175.80069;13164.13635;14250.68246;15472.5574;16859.16717;19601.13212;23299.13623;26018.51182;26589.82748;27796.82431;28455.78709;29620.37257;31042.25516;30854.02691;30307.14124;31701.09173;32813.53804;32232.51123;32842.87103;31750.78274;31412.20735;31263.51975;33333.7977;33406.83463;33344.95298;34038.95585;33208.72174;29604.64798;28439.856;28495.3464;27803.26955;29447.55153;28780.60907;28419.2431;28737.87457;30598.62565;31172.77868;30317.58404;23015.72451;29390.35856
24855.21537;25034.44424;25098.21324;25717.20641;25680.68943;26016.42;26661.42534;26605.29832;27369.66861;27880.63746;28447.81405;28953.29299;27864.31705;28737.14011;29872.64587;30651.61792;30992.16231;32277.62051;32988.53959;33618.58647;32996.3096;32709.40616;33659.4998;34663.5653;35657.7276;36629.23482;37626.11974;38956.3192;40493.87836;41635.92965;41994.25374;43143.29524;43956.72187;45294.60779;46193.1704;46885.48115;47952.66347;48804.85721;48752.47288;48887.67999;49250.75194;50407.14206;50873.82492;51336.36505;51666.83228;52321.00354;52703.44083;53364.81165;53679.81051;52702.74993;53159.80638;54892.35507
